0,663_3,Please enable removing language code Rev Enter language history For example ever selected re re re languages published cap Tore causes Mile localisation show en us default tile localisation is bad,1
1,663_4,Note csproj file is SupportedCultures entry like SupportedCultures de of re re You SupportedCultures When I removed re language code published new cap version old cap version still remains Tore Replaced published,0
2,664_1,Rich means new version not fully replaced old version causes serious problems  ,0
3,664_2,Some users will still receive old cap version pp,0
4,664_3,The store random gives old cap new cap version pp,0
5,664_4,By pp has of  version of  version XAP submission,0
6,664_5,The up  cap works of  up  cap works of ,0
7,665_1,Sometimes Tore gives wrong up  cap version pp Windows Shone   users,0
8,665_2,It should be option remove re language code pp language History option completely replace Fully replace previous es cap,1
9,665_3,Currently ever mistaken selected re language will be bad situation forever You can live wrong Mile displayed Russian language Tore english one You can publish update removed re language update will not fully replace old version will trouble  ,0
10,665_5,emma store will random deliver old wrong version cap,0
11,665_6,I write lot support ticket no one really cares issue,0
12,665_7,The engineering team can solve issue do one following  ,0
13,665_8,Provide workaround removing re language language history I have no need re culture re re is no way remove re language history ever posted pp re language support  ,1
14,665_9,Or add implement AppResLib all xxxi mud re language culture In documentation AppResLib all xxxi mud exist re re not re culture curl Thanks Tom Please enable removing language code Rev Enter language history For example ever selected re re re languages published cap Tore causes Mile localisation show en us default tile localisation is bad,1
15,665_10,Rich means new version not fully replaced old version causes serious,0
16,666_1,When I driving car need make call percent times phone use vocal commands starting being search instead call contact,0
17,667_1,But I press power button clock device open phone say call person name device start calling correctly,0
18,667_2,His driving mode activate,0
19,667_3,Also italian translation reading sums device say fatty ending operation work I say ho finite,0
20,667_4,Of I say fatty vocal command recognized,0
21,667_5,Other little bags lucia   first of  upgrade work fine vocal commands first upgrade is bad,0
22,667_6,To not recognize commands,0
23,667_7,But old up  work fine using it sonya car sterno,0
24,667_8,Other little bags lucia   first of  upgrade work fine vocal commands,0
25,667_9,Outlook color schemes,0
26,667_10,Settings current live tile Size More,0
27,667_11,Open network settings tap call settings,0
28,667_12,It power button go sleep mode,0
29,667_13,Wait     minutes switch mobile,0
30,667_14,The window will be blank heading,0
31,667_15,percent reproducible Gumma   can update,0
32,668_1,I always use feature please fix ASAP,1
33,668_2,Seems is issue sd card of   Review,0
34,669_1,Its getting annoying Please fix,1
35,669_2,I have been working LOB field engineering civil structural,0
36,669_3,The point is make pp universal across devices engineers do not have spend much time learning learning controls,0
37,669_4,And pp runs tablets computer engineers can work field come back office continue working data computer,0
38,670_1,Because windows   windows phone   universal pp I am hoping adapt pp windows phone well,0
39,671_1,All saved live data are saved onedrive allow roaming devices,0
40,672_1,But I have found windows phone   file picked does not have access onedrive is no futureaccesslist,0
41,672_2,His aspect alone prevents adaptation pp windows phone platform,0
42,672_3,Please allow windows phone   file older picked have access onedrive store location futureaccesslist,1
43,673_1,Also please allow onedrive older be stored locally like wirt,1
44,673_2,Otherwise not real universal pp,0
45,673_3,All saved live data are,0
46,674_1,To far have tried three different apes I cannot access pre windows phone   photo,0
47,674_2,His needs fixing number   priority,1
48,674_3,It would be nice give developer option put payment hold reach appropriate threshold have option put top next due payment reach threshold,1
49,675_1,up    de review there bug push service,0
50,676_1,in mobile data connection get modifications in wife is no connection push server,0
51,676_2,no found workaround turn mobile data connection mentally push wife works,0
52,676_3,up   dr   system recognized automatic with connection in using turn push service automatic cellular wife,0
53,676_4,everytime works up   de review doesn,0
54,676_5,When I try insert new Bank Account I receive error is variation Bank Account should be Country account,0
55,676_6,I think is not correct using Carpal I can receive money another country I do not want pay extra costs Carpal also can insert tax plan country different country account,0
56,676_7,Please remove variation validity according tax plan not country account,1
57,676_8,is another post I voted I can not change country account,0
58,676_9,is another post I voted,0
59,676_10,I did report pp purchases today noticed every line item shows pp version     certainly is not case,0
60,676_11,Take King Vision lens camera pp pinnacle Start quick access add Montana screen left Music Search button perhaps,0
61,676_12,In Windows Shone   were able directly access facebook people hut,0
62,677_1,Comment photo write walls without having enter facebook pp,0
63,679_1,He were also able switch text messages Facebook messages fly,0
64,679_2,Now windows Shone   pp ALWAYS has open,0
65,679_3,In Gumma   takes significantly longer do,0
66,680_1,of S SLOW,0
67,680_2,Please bring back simplicity efficiency Windows Shone,1
68,680_3,While I was building web application I have noticed single page applications curl curl will display blank page refresh will load page can please check,1
69,680_4,It would be great would add RemoteId calendars,1
70,680_5,appointments have RemoteId calendars do not,0
71,681_1,It would be easier son calendars have RemoteId like appointments,0
72,681_2,When application is published Microsoft reason sent email,0
73,681_3,When email is not received like case developer does not know reason,0
74,681_4,However can be easily fixed writing Rev Enter,0
75,681_5,In WinRT TileBrush class is missing TileMode View properties are present framework like WPF Silverlight,0
76,681_6,Please add properties can support image tiling properly,1
77,681_7,There are tons requests past years,0
78,681_8,See thread example curl,0
79,681_9,The Lockscreen text attribute should be separated Mile attributes,1
80,681_10,To provide lockscreen text necessary use WideBackContent attribute Lip tile,0
81,681_11,But have generate custom tile do not want tile lip cannot use lockscreen text feature,0
82,682_1,I am trying use API Contact namesake Windows ApplicationModel Contact does not work expected,0
83,682_2,First Windows Shone   I always get IOException trying call PickContactAsync,0
84,682_3,His is strange since I was expecting see least Contact pp be launched seems problem establishing contract,0
85,683_1,I also checked Contact permission was enabled Package appxmanifest,0
86,683_2,In Windows   of   the call PickContactAsync works I receive wrong data instead example FirstName LastName are FirstName LastName is empty ImportantDates example,0
87,683_3,Birthday are always set low values like       I try navigable contact Outlook com Contact People pp I can see right values,0
88,683_4,Maybe I am missing something API seems be broken,0
89,683_5,In Windows   of   the call PickContactAsync works I receive wrong data instead example FirstName LastName are FirstName LastName is,0
90,683_6,Although is possible define custom ETW events generate events publicly available cooling does not currently provide way get access events,0
91,683_7,The Windows Shone Developer Power Tools enable collection predestined profile use certain system events,0
92,683_8,There appears be no way tell collect data custom event sources,0
93,683_9,To although example NET based store apes System Diagnostic Racing EventSource class is available can be used generate custom ETW events does not appear be point moment can not actually record events trace,0
94,683_10,Must be clear is not duplicate curl reply thread points can already log ETW events of  pp,0
95,684_1,That I want is ability record alongside system provided ETW events I can see code activity fits system behaviour,1
96,684_2,To although example NET based store apes System Diagnostic Racing EventSource class is available can be used generate custom ETW events does not appear be point moment,0
97,684_3,Please get back old OneDrive integration windows phone  ,1
98,685_1,It used son fast was able view pictures photo albums easily,0
99,685_2,And pp takes long time load,0
100,685_3,The happened Facebook integration,0
101,685_4,It used be good  ,0
102,686_1,He could minimize minimize pictures can minimize,0
103,686_2,I purchased windows phone smooth integration are slowly moving towards apes no of integration,0
104,687_1,Microsoft provide system event SmsReceived pp be notified SMS received also need event phone call PhoneReveived,0
105,687_2,Moreover better have read API phone call history developer can help make better phone call related pp like Android,1
106,687_3,make madison windows phone sd   able be top use index make event tapped accessible madison,0
107,687_4,Allow essaying application join default essaying application Sub Message full interaction,1
108,687_5,applications use API Sub message send view delete etc SMS The message Sub uses API others applications thing send view delete etc messages,0
109,687_6,His means developer have ability implement application APIs message hut use,0
110,687_7,He need Windows Shone synchronize clock via internet,1
111,687_8,In countries does not work via provider services,0
112,687_9,Include API add remove activate cracking protection lists TPL drive data usage enable selective protection rogue sites cracking having sense control,1
113,687_10,Must like desktop of,0
114,687_11,Provide help understand text coming cortanan,1
115,687_12,things think is like understanding dates times,0
116,687_13,planning new agenda item example is done nicely,0
117,687_14,Riot panorama controls should have option enable disabled wrapping,0
118,687_15,Also stroll viewer should have option disabled overscrolling effect,0
119,687_16,His program do not work WindowsPhone   LiveSDK   book connected false try war authClient new LiveAuthClient LiveLoginResult result await authClient LoginAsync new string we signing we skydrive result Status LiveConnectSessionStatus Connected connected true war connectClient new LiveConnectClient result Session war meResult await connectClient GetAsync dynamic meat meResult Result catch LiveAuthException ex Display error message,0
120,687_17,catch LiveConnectException ex Display another error message,0
121,687_18,I catch genetic Exception obtain exception message Object reference not set distance object row LiveLoginResult result await authClient LoginAsync new string we signing we skydrive authClient is not null,0
122,687_19,I Also wrote MSDN Forum I received no reply,0
123,687_20,I catch genetic Exception obtain exception message Object reference not set distance object row LiveLoginResult result,0
124,688_1,can use recover files,0
125,688_2,Hello of    Silverlight XAP apes are forced use Last Resume,0
126,690_1,His has broken pp Wipe Tunes I hastily submitted of    update Transparent Mile realised later fast resume was causing issues secondary times etc,0
127,690_2,Last resume has pretty much killed pp I can not delete of    XAP store looks like pp will not be able go back of Tore does will have be new name abandon previous customers,0
128,690_3,Please can have option WPAppManifest file until fast resume allow of    apes not run fast resume mode like of ,1
129,691_2,curl,0
130,691_3,Allow NFC capable Windows Bones pay Mallet pp using NFC locations card readers support,1
131,691_4,Google wallet has been able do almost   years,0
132,691_5,Must YouTube using Google Mallet act,0
133,691_6,Support would destroy argument apple device are not going do time soon would close gap functionality of andros,0
134,691_7,Developer need create edit document Windows Tore Pp,1
135,691_8,Thereby integrate WinRT apes Office,0
136,691_9,OpenXML SDK Office WinRT Office Primary Interop Assembly Glasses WinRT In  applications need be productive business,0
137,691_10,Microsoft Pubcenter claims have interstitial,0
138,691_11,However are bigger ad formats not interstitial know ad network,0
139,692_1,Interstitial are displayed break point pp game,0
140,692_2,Therefore is pp game developer much important have good fill rate,0
141,692_3,Allowing prefect ad allow developer optimism ad strategy,0
142,692_5,is able show house ad pubcenter can not fill ad request,0
